User: admin | Method: UserApi.getAllUsers() | Time: 2025-07-02T08:57:24.850082200
User: admin | Method: UserService.getAllUsers() | Time: 2025-07-02T08:57:24.870284800
User: admin | Method: UserRepository.getAll() | Time: 2025-07-02T08:57:24.872292
User: user | Method: UserApi.createUser(..) | Time: 2025-07-02T08:59:34.521299900
User: user | Method: UserService.createUser(..) | Time: 2025-07-02T08:59:34.529471800
User: user | Method: UserRepository.save(..) | Time: 2025-07-02T08:59:34.537630700
User: admin | Method: UserApi.createUser(..) | Time: 2025-07-02T08:59:50.322824100
User: admin | Method: UserService.createUser(..) | Time: 2025-07-02T08:59:50.324828
User: admin | Method: UserRepository.save(..) | Time: 2025-07-02T08:59:50.324828
User: user | Method: UserApi.createUser(..) | Time: 2025-07-02T09:00:47.298270
User: user | Method: UserService.createUser(..) | Time: 2025-07-02T09:00:47.315465700
User: user | Method: UserRepository.save(..) | Time: 2025-07-02T09:00:47.316479700
User: user | Method: UserApi.createUser(..) | Time: 2025-07-02T09:03:19.801500900
User: user | Method: UserService.createUser(..) | Time: 2025-07-02T09:03:19.818068700
User: user | Method: UserRepository.save(..) | Time: 2025-07-02T09:03:19.820149500
